X;Y;Z
-67;38;3
-56;-79;88
176;-27;-62
90;20;-22
-35;-35;42
-579;-487;-538
542;471;517
-24;102;-20
-119;-57;5
-7;-55;1
82;94;-19
-221;-38;76
179;-11;-27
-11;39;-29
32;13;-10
-25;1;4
-1;13;-14
6;-13;16
6;15;-4
-1;1;-5
-2;-4;-2
-3;12;-6
-37;-9;31
48;4;-44
40;-104;150
-72;68;-122
-28;-17;25
0;49;-39
10;14;-12
-40;-78;41
-1;35;-35
38;-43;37
25;51;-27
-72;-1;25
22;28;-52
13;-70;41
-48;54;-31
42;-35;49
-16;23;-38
18;-52;26
5;24;-36
30;18;27
-62;-20;3
-19;13;-5
4;11;-8
16;-27;-1
3;25;-9
-44;-132;55
-24;-12;3
-4;51;-4
-23;31;-46
25;-30;63
19;36;-70
-49;-112;63
70;196;-58
-26;-35;-11
100;90;-10
-48;-73;31
13;20;-21
43;12;-4
-17;-34;7
-8;-12;6
1;-1;0
0;6;-9
1;12;4
-51;-33;32
-11;-82;43
34;-13;-12
85;213;-114
-93;-192;113
37;106;-54
-3;-16;-37
-70;-49;40
34;74;-52
55;-1;-13
-39;-20;47
-24;-10;3
-1;-11;9
3;-3;-9
11;3;1
-32;12;4
22;0;-1
7;-10;-4
-21;-8;4
-64;20;7
96;11;-9
-59;-24;8
13;30;-40
12;-66;27
28;62;-26
-6;-69;48
-79;-42;43
43;13;-68
4;3;-5
-5;48;-2
13;20;-11
-28;10;30
4;-62;16
22;32;-35
-18;-39;14
31;12;-16
-4;16;0
-15;10;-11
-19;-26;34
26;20;-22
10;0;-11
-16;-20;21
-4;8;-8
-2;-1;5
-18;4;-3
19;-1;0
-18;-4;-4
20;22;0
-5;1;4
15;9;-4
26;5;-12
-28;-76;31
-33;95;-17
26;-54;-2
-46;-6;3
39;11;7
-3;-2;-8
-10;-2;-3
11;2;-3
-12;-8;7
2;7;0
5;-1;-2
-8;-7;-5
3;8;5
9;-1;-5
-12;-10;6
0;9;-3
10;1;-4
-15;-12;3
8;11;-1
6;-2;0
-13;-8;0
7;9;-2
5;-4;0
-13;-5;0
6;9;-4
0;-9;3
-10;-1;2
11;11;-6
-6;-14;3
-4;10;1
14;-1;-6
-14;-6;4
13;6;-4
-11;-5;2
4;-8;1
-1;1;-2
2;11;-7
0;-2;3
-3;-5;1
0;-1;1
-1;1;-1
-1;-4;0
0;1;-1
2;7;-4
-1;-6;3
-4;2;-1
-2;-4;4
3;5;-3
0;-1;-2
-4;0;2
0;-4;-1
5;5;-1
-9;-6;-1
6;-1;1
-3;3;1
5;-1;-2
-12;-5;2
13;12;-1
-14;-10;-3
5;-1;1
6;7;0
-7;-10;1
3;4;-1
-4;3;-1
6;-1;0
-11;-6;1
11;11;-6
-13;-11;0
6;3;3
4;7;-3
-5;-6;-1
1;-4;-3
-33;-14;47
-12;-42;92
-7;1;-195
32;134;66
34;47;-16
-11;-129;25
18;47;-25
-4;-60;2
-5;125;2
22;-103;3
61;58;-54
-48;108;52
29;-149;0
11;2;43
-25;6;-47
-6;6;-4
-21;8;11
44;-59;-4
-17;89;-12
6;-79;-1
19;33;3
-25;-25;-31
12;60;-3
42;-29;44
4;-14;-11
-23;21;-16
29;-4;9
-9;-4;8
17;10;-14
-1;-35;7
-50;-20;69
81;42;-106
18;2;-10
-52;-40;-42
37;66;68
9;-30;-16
-38;-8;44
60;10;-22
-69;-63;-38
50;26;-3
19;-10;15
-54;-7;-33
89;58;66
-45;-68;-57
-25;-15;-15
30;1;36
9;-8;-32
10;-18;6
7;38;-12
14;-45;41
54;17;17
-107;-36;-79
92;81;77
-148;-152;-90
106;65;36
-61;-47;25
36;99;-29
11;-72;17
11;11;-23
-39;-9;22
-4;9;-9
4;-18;6
5;26;0
-3;-23;-7
3;2;4
-2;15;3
5;14;2
-8;2;6
-2;-8;-7
4;0;-5
3;5;2
6;54;4
-37;-12;9
30;0;12
1;-26;-13
-53;-72;-14
24;101;14
26;13;-1
-90;-203;-45
107;182;11
-22;19;28
-23;-24;9
-35;-55;-32
91;62;17
1;4;0
-78;-55;7
31;40;5
35;16;-6
100;-73;48
-232;-164;-80
159;272;55
-58;-56;-5
-56;-96;-17
59;153;18
-14;-79;-26
19;41;9
-25;-17;-5
24;12;1
-12;-36;-6
-40;39;-72
36;-8;73
5;-13;1
-13;6;-3
10;-6;3
-4;0;0
11;4;1
-4;-1;-2
1;-8;2
-10;6;-3
10;0;1
0;-2;-3
-3;0;5
-7;7;-6
9;-11;3
2;-3;18
-4;-4;3
-5;5;-12
4;0;-9
-6;6;-1
7;-8;-3
-1;4;-1
-4;-1;2
4;-2;-5
-6;5;-1
8;-6;1
-8;5;0
1;-3;1
2;11;-27
-2;-13;-26
-3;-3;22
30;-16;49
30;24;-20
-37;5;-2
-19;8;26
11;-27;-9
2;-7;-11
-9;-11;-8
-22;39;206
-11;-16;-225
-56;-126;1
150;171;-17
-64;-30;48
-84;16;-13
57;146;74
2;-20;-21
63;1;-88
-117;-53;106
-86;3;12
4;-11;-26
26;41;0
13;-39;18
-88;56;-20
55;-68;49
59;-23;-28
-67;127;-16
18;-107;16
-1;35;7
37;-26;33
-29;9;-39
-20;19;-29
2;-35;-41
36;-21;40
-53;62;50
-18;-22;5
-11;31;15
-31;-7;7
-13;20;-7
-10;-63;9
10;8;-13
52;-78;-27
19;25;-59
-12;16;7
5;11;1
-9;-11;10
-6;-2;-4
13;-8;-3
-3;11;-4
-11;18;13
14;9;-1
-20;-21;-6
18;-23;-8
-2;26;-7
-19;6;18
17;0;-4
-13;-6;-10
-25;-5;1
41;-19;20
-2;13;-6
-21;-24;-36
31;-4;1
-40;16;34
18;14;-15
8;-4;6
-14;-7;0
-2;2;3
19;10;-4
-24;2;0
12;-10;4
8;2;-12
2;-9;10
-20;13;-9
21;-1;12
-2;-2;-17
-11;-8;8
12;-3;1
-1;11;-25
-3;8;84
9;67;-37
-17;-90;0
1;11;-25
56;-9;-5
-58;29;27
4;-37;-21
20;21;20
69;-30;32
-102;21;-51
-3;18;-47
-27;80;-26
12;-20;51
72;36;-30
-34;-3;13
4;22;-12
89;-20;54
-152;-220;-26
129;149;102
-27;-34;-87
-50;5;-26
-14;6;-85
-9;-49;39
63;156;53
-9;-102;25
4;-15;-15
-6;-3;5
3;2;-5
0;-4;4
-7;1;-3
6;2;2
5;9;-7
19;-16;42
-10;47;5
-39;28;-48
50;-30;1
-39;-98;12
-52;-13;-3
45;75;-18
32;48;13
-9;-41;12
1;-60;-13
60;160;17
-93;-148;-25
31;39;-23
-28;-8;18
21;10;35
-5;-5;-21
16;-5;-3
-8;1;0
8;-2;1
-6;14;-5
10;0;-2
-25;11;-14
20;-42;47
26;69;-14
-88;10;-60
39;-49;24
-62;-2;-17
58;-18;23
17;24;-7
16;20;15
11;-42;14
-23;-19;-21
1;29;10
10;2;-8
0;-14;6
-8;3;-7
10;4;4
-6;-6;-4
-1;2;5
20;21;-41
-11;-27;27
-11;5;5
3;-3;6
-7;9;0
20;-5;-4
-25;0;6
22;13;-7
-9;2;-9
5;-29;15
11;4;-9
-6;-13;7
8;4;3
24;27;-21
9;-21;-5
-4;-24;-6
5;13;4
21;-8;8
-11;-1;-7
10;-8;-9
3;-3;1
4;-12;-9
7;-6;5
-1;-8;-12
4;10;11
18;-9;-7
47;-21;-26
-37;-33;20
234;197;274
-235;-180;-285
-39;-54;-7
44;22;-11
-12;-1;-7
-1;-8;23
21;17;0
-36;-34;-17
22;22;5
-20;-11;1
9;-3;2
2;-6;0
-29;-52;9
14;17;-42
20;-15;13
62;-49;110
-62;-87;27
-206;153;-235
25;11;-36
322;5;349
-185;-17;-192
23;154;27
-22;-147;-48
9;-81;32
16;65;-38
-32;17;27
11;-6;-28
29;28;-16
4;28;10
-29;-8;14
7;74;4
7;-100;10
-16;-36;-14
6;35;12
7;5;-6
5;-14;-9
-4;-4;9
-21;11;3
-4;-1;-5
15;-8;1
20;-8;-7
-9;2;2
-11;9;8
1;-4;-10
11;-7;-1
-15;5;3
3;6;3
24;-22;-18
5;11;6
-29;13;6
-13;4;12
13;-12;-15
4;-3;1
13;-6;-5
-1;53;21
11;3;-21
-26;-33;4
16;17;1
-23;8;14
-13;-16;-7
7;9;0
-7;17;0
32;-45;-15
4;19;8
-8;58;11
-23;-32;1
11;-11;-9
15;-34;0
-9;26;-2
-11;41;15
6;-35;-4
2;-13;-8
9;45;4
-16;17;5
-3;-29;3
11;-21;-9
1;38;-4
-14;21;10
-2;-37;6
-6;-23;-16
-17;16;11
-8;9;2
27;16;-4
-57;-131;-43
228;166;52
-210;-88;-3
69;38;24
46;-70;-51
-182;-65;-23
190;225;72
-35;-86;-62
-69;-42;37
21;84;111
5;-46;-126
19;-21;-8
37;62;7
-73;-33;13
42;20;-26
-30;-10;18
37;13;-30
-53;-33;44
-32;-63;6
1;96;-14
36;-2;2
-34;-31;-12
15;-1;17
21;21;-19
1;24;-4
120;14;-63
-47;22;73
-106;-14;6
-18;22;26
-9;4;41
-15;15;-1
-15;-31;18
-9;1;15
-9;17;-38
-16;16;6
4;2;-6
-3;53;-26
14;-35;30
-56;25;-4
-70;-17;-53
106;33;94
-40;-110;-100
131;-56;-45
-20;2;-17
-21;-15;8
-61;-25;75
-47;126;88
-40;50;13
-3;-4;13
30;-67;-86
0;-17;-3
27;3;-15
-14;1;1
81;-6;-29
-73;-9;22
2;18;13
5;7;-14
1;-14;-3
6;-4;4
-14;7;1
21;-11;-9
-14;-13;22
-25;24;9
7;2;-2
22;-1;-32
-11;22;22
10;-39;-19
36;15;-21
-27;7;37
-42;52;42
48;-87;-120
145;-66;-155
20;-29;-111
124;-113;140
-378;236;185
-9;67;306
264;-260;-489
-259;198;200
13;209;113
-2;-172;-27
116;-112;-150
-42;56;60
-8;9;-17
-8;-12;-2
-1;-2;11
4;9;-7
-5;15;-1
15;-10;2
-10;-35;-2
-22;40;13
29;18;-13
7;5;11
-14;-32;-7
4;-14;-9
8;6;1
-1;20;12
5;22;-8
8;-22;-3
-22;-7;-5
29;27;15
-11;-6;-19
-13;-33;4
2;15;-1
10;0;1
-45;44;18
44;-49;-5
-28;26;-19
25;-30;13
-10;-16;9
-14;34;-22
46;-43;-13
-70;22;80
57;-25;-72
-48;18;12
41;16;0
-36;20;-1
12;-7;0
-18;-10;-3
17;-11;2
-18;5;1
22;-3;1
-35;1;-6
38;31;1
-2;-36;7
-13;-3;5
13;8;-33
-3;-5;22
-9;1;1
4;0;-2
-3;1;-1
-10;1;2
11;-2;-5
1;-7;-3
-8;-7;-2
9;0;3
-7;16;1
-1;4;13
3;-9;-7
-6;3;0
89;-94;25
-64;86;-20
-8;-6;6
-6;8;-10
-8;-14;-21
-8;15;2
18;12;0
-18;-24;0
36;20;16
3;10;-35
8;-9;16
0;-20;4
-63;-49;8
61;44;-34
35;38;51
-28;-23;-11
-33;-1;-54
-5;2;0
1;-18;7
60;-2;59
-70;-99;-86
45;132;82
64;-92;-17
-23;79;8
-6;16;-14
36;-16;22
-98;-147;-40
-3;119;-122
132;-56;184
-5;55;-120
4;-52;29
-10;-21;0
12;-21;-10
31;63;6
-32;-24;21
-6;-59;-16
32;26;-11
-7;7;5
-35;-8;0
43;37;-4
-24;-54;-3
-16;5;15
10;16;-18
7;-14;-2
4;-4;14
11;37;-6
-19;-31;-9
3;-3;8
0;12;-8
13;-1;-3
-4;29;-3
-29;-21;-7
17;-8;16
-5;10;2
-7;-10;0
-20;1;6
21;0;-9
22;7;11
21;6;-7
-17;2;-9
-23;7;6
-15;-12;-1
16;7;0
13;-1;-3
-27;9;15
-34;-22;-4
48;36;7
2;-26;-11
46;20;-2
-41;-16;-4
-4;14;8
10;8;-9
-6;-10;7
-23;1;10
-11;-12;-3
12;25;-2
12;2;-2
-9;-2;0
-10;-6;-5
-4;6;13
9;-1;-1
-5;13;-4
-5;-6;4
-9;8;-7
2;-4;10
-5;11;-7
1;-9;17
-19;-11;-25
-41;-48;8
-19;-1;-2
52;50;4
66;34;-9
26;-3;2
-21;-48;-18
-92;-20;21
97;172;-631
-91;-165;508
54;-48;105
11;78;25
-10;1;-24
-8;-12;6
-19;-36;-20
48;54;2
-35;-34;-4
14;14;23
-20;-8;1
15;1;-5
8;-1;-1
-8;0;0
-6;-4;9
1;1;-4
6;5;-5
4;0;3
-8;-6;-1
-4;3;0
8;-1;-6
-3;4;-6
-5;-1;-1
-1;-3;6
6;0;-2
8;-1;-3
-15;1;5
4;-4;-4
-3;2;1
6;-2;-1
-6;3;-2
-3;-2;5
10;-3;2
-6;3;-2
55;67;66
-58;-73;-31
13;2;10
-17;0;-40
17;9;-6
-14;-12;-7
2;10;-6
-7;0;3
2;18;12
-60;-2;5
41;-7;-7
10;58;-1
-12;-69;33
-37;2;4
10;2;-15
10;33;-3
3;3;-17
-1;7;3
-3;-16;-11
-6;3;19
7;-6;-6
-9;13;-13
4;6;5
7;-2;1
12;-11;18
-14;1;-7
-7;0;-1
2;-5;-6
4;6;5
15;4;7
-6;5;-3
-13;-6;-1
-20;-12;0
7;-1;-2
7;2;-6
8;14;9
-4;-5;-4
-9;-7;0
-6;-1;-1
1;4;0
-2;-3;3
-36;-26;-1
-18;-1;2
23;32;-16
54;35;24
-10;8;-37
-82;8;27
8;-72;15
18;-23;45
12;36;-26
-11;75;10
-42;-27;18
-43;-24;-63
3;-12;9
13;31;31
-8;-47;-101
79;-48;-28
-9;-38;11
26;4;1
14;3;-5
-5;15;34
-126;51;79
14;-14;-28
7;21;10
-17;12;1
3;-11;4
29;-21;-13
4;21;-12
-1;4;8
-7;3;2
15;-4;-7
-7;6;18
12;11;-9
4;-18;-2
7;-9;-10
-23;11;59
24;1;-37
-18;5;-3
3;-10;-9
-7;9;9
12;3;-12
0;-3;0
-12;-4;-3
11;-4;1
-11;11;7
12;-6;-13
-12;0;8
5;-3;2
-1;3;-7
-2;-18;4
-5;1;-3
-4;10;4
21;8;-3
-12;14;-1
4;-33;2
-16;-6;1
16;5;-6
1;26;9
8;3;-3
-13;-7;-10
3;-24;11
-3;14;-7
7;19;-1
14;12;3
-14;-13;0
-3;-27;-3
-11;-44;-2
18;45;-6
-4;11;10
10;0;0
-23;-25;16
16;36;-30
20;-1;16
3;13;-2
-8;-34;-3
-10;-12;-16
12;47;10
22;-26;0
-8;-10;28
-15;-18;-21
-5;13;-22
-16;63;-1
113;-92;12
-55;-35;-51
8;-35;-5
-66;111;129
-101;23;-118
50;36;135
52;-68;-52
-18;22;20
-100;94;68
-38;-84;-13
157;-127;-90
-44;13;-105
9;70;81
-10;23;3
-7;60;11
5;-22;-5
-1;-69;-8
0;-27;-2
1;23;-2
6;31;15
-15;30;55
15;43;46
-8;-38;-51
-9;-47;-44
19;-92;-139
13;198;192
-54;-261;-182
5;49;11
12;-20;-8
92;68;6
-77;41;130
1;87;52
-46;-59;-95
11;3;12
8;-37;-9
7;19;2
6;-38;3
-1;21;13
25;32;-7
57;-10;50
-49;-10;-4
-62;49;-59
27;-61;-2
-3;-9;24
-28;7;-25
44;4;-3
-27;-31;22
26;33;3
9;23;1
21;51;58
-49;-99;-69
-2;-144;-157
50;253;99
-219;-75;114
219;36;-135
-90;-56;-29
85;125;165
41;-129;13
-43;-79;-68
67;100;16
-35;21;-104
1;-55;105
-132;-56;-185
179;110;233
-49;-8;-164
66;-18;124
-73;-37;-107
91;-5;23
-23;-14;28
5;65;-44
16;-97;40
9;33;6
28;-32;-29
-6;-16;-7
22;-14;46
-15;-18;-54
-22;-31;-12
361;64;-51
-326;-98;99
-276;-221;8
193;398;7
52;-189;-90
-36;21;45
4;55;-15
28;-16;-13
17;-22;-3
-27;6;7
-24;8;17
-18;-21;-15
60;25;5
-20;-21;-15
-2;-4;31
16;26;-25
-2;-9;5
-6;2;-5
-11;-10;0
3;0;1
-6;1;-5
4;-4;4
-5;1;-4
3;2;3
-4;-2;-4
7;3;4
0;-5;3
-7;-5;-6
0;12;5
6;-8;-9
6;-1;5
-4;5;-4
-11;0;-1
11;-8;-3
5;-1;-3
-9;9;6
4;-8;2
-3;7;-6
-2;0;5
-1;4;3
0;-3;4
-21;33;-46
13;-19;15
10;-10;3
-1;0;13
8;1;5
-16;3;8
4;-4;-6
1;3;4
2;1;-14
-7;-1;18
8;0;-20
-6;0;0
4;-9;11
3;7;-5
-2;-4;6
8;4;0
-9;5;-10
-3;4;12
0;3;5
2;1;-6
-5;4;-9
1;-1;-4
-5;2;8
8;-3;-5
-1;-1;2
3;-4;2
-5;9;-7
-4;-2;9
2;0;-6
-19;7;10
-7;13;5
41;-53;1
6;8;4
-1;16;-8
-35;22;-10
-24;8;-14
7;-9;19
13;-6;-37
30;-13;10
4;-4;-4
-7;-12;28
5;3;-8
18;-4;-6
-14;-6;29
-42;21;-4
5;8;-13
7;-12;-19
86;68;-17
-104;-72;24
72;110;-33
-54;-118;6
5;15;21
19;28;4
-35;-36;8
23;29;-5
15;21;6
-66;-21;-36
49;60;58
15;-60;-23
-36;-27;-3
19;55;18
-18;-48;-2
-20;108;13
8;-14;-42
16;-62;-5
-14;63;29
9;-35;24
15;-22;-23
-16;-17;11
-39;101;39
-18;-18;-76
33;-14;130
-25;-22;-126
10;-10;86
-44;126;-94
18;-187;-8
64;66;35
29;-28;-20
-103;52;-18
59;13;18
-1;5;17
39;8;12
-37;-26;42
-45;2;4
-32;-127;-7
-31;260;12
-31;17;2
8;-27;-27
0;-63;-8
25;-59;38
52;-72;-13
1;-47;-30
-18;109;5
-10;-6;13
-12;66;-57
-85;22;35
-6;71;24
-22;-60;17
0;-49;-4
32;-37;-18
21;17;5
-9;-42;2
35;-40;-25
-55;40;16
20;20;3
-13;17;4
5;11;4
-13;-19;-10
3;-37;-1
10;2;7
21;5;-8
-3;37;-1
-6;-8;6
15;-14;-13
-10;28;2
-14;-3;13
6;-5;-6
8;-11;-2
74;-53;34
-59;71;-12
-26;-9;0
13;-5;-15
-21;-4;4
21;8;-9
-14;6;-2
-30;2;-6
40;-29;-6
-27;29;13
26;6;-7
-1;11;-2
-4;-11;5
34;-10;-7
-6;20;0
46;-15;-1
-53;-22;15
-25;90;18
7;-19;1
51;-81;-8
-46;76;3
40;-94;-43
-18;10;-4
-64;36;-19
105;-43;-29
-115;7;-62
35;-24;39
-78;81;140
-37;-51;32
90;153;-15
-18;-93;-2
21;-109;-48
17;-57;15
4;18;-10
-24;39;8
-12;-8;9
-2;-8;-18
28;-57;-20
-22;-31;-19
29;24;-5
373;-22;4
-400;119;-33
-19;0;27
3;6;27
-5;41;10
5;2;18
-19;48;21
15;-78;-26
0;-28;-23
12;-8;-8
-7;40;-10
-13;15;23
-1;-7;-8
26;-39;-13
-13;-9;3
-1;46;-8
47;12;-12
-46;-82;-5
-21;-5;38
64;13;-16
-53;68;15
-12;5;4
13;-22;39
17;-38;-31
2;33;-17
-80;30;-44
40;12;-4
24;-25;9
-29;-20;50
13;-15;-13
64;17;25
-60;-16;-27
16;20;-5
-19;-30;2
22;24;9
24;10;-24
-24;-7;11
-11;-20;-2
-5;51;18
-7;7;-25
-2;-94;-5
-6;11;3
-23;52;-13
14;1;-101
53;-11;112
42;68;-5
11;-108;-35
48;92;100
-34;-16;-46
3;-24;-26
19;38;5
-22;-51;-33
31;0;-4
25;-57;-30
10;48;57
34;36;1
-6;-41;-16
-37;-50;-9
32;12;-5
53;-39;-8
-56;-65;-32
481;-453;321
-674;460;-282
145;96;-84
161;26;56
-1;-19;-14
-178;-108;7
36;61;20
13;-44;63
85;36;-83
-32;-14;20
-60;3;12
1;16;-8
45;-19;-4
35;-9;-14
-19;24;12
-31;0;5
-4;-19;-7
36;4;-9
-19;2;6
-24;3;8
-12;-4;-3
15;0;-3
21;-4;-9
9;-5;1
3;4;-1
-11;-4;3
-21;4;4
-3;0;1
17;-7;-8
-1;1;2
3;2;-1
-9;-4;6
4;13;-11
-5;-4;8
2;1;0
-1;-3;-6
-3;1;4
12;-6;-3
0;2;3
-10;-1;-4
-6;5;6
4;-10;-1
4;10;0
-7;-6;-2
3;5;-1
9;-2;3
7;1;-12
5;-3;2
-19;1;8
-20;12;2
-8;-3;-1
-2;15;3
-2;-7;4
20;0;-16
8;-5;-26
-1;9;4
-8;4;16
22;-14;10
3;2;4
-18;-1;-4
-13;4;7
1;0;-5
13;4;4
7;-5;-2
-7;4;1
-7;-2;6
-9;2;-6
8;-4;-1
6;12;-6
-4;-6;0
-1;7;4
-3;-5;0
-6;8;-5
1;-7;7
2;3;1
-2;0;-7
4;-1;-1
-4;-2;-2
-1;3;5
-19;-2;6
4;7;-4
8;-7;-4
21;-6;-5
0;2;6
-21;7;4
-6;-5;-2
12;-1;-4
9;4;-1
6;-40;16
-326;-79;-157
343;108;185
-58;42;-42
-73;17;-65
134;-14;48
-22;30;1
-33;-31;-16
19;109;55
-47;2;-27
22;-99;9
-31;-24;10
-27;71;10
36;-74;-58
-11;131;115
-121;56;-9
72;-22;-33
23;-155;-38
58;10;-30
-12;-11;22
-63;57;-16
-53;-58;61
-19;139;-40
-3;-101;11
42;-50;79
-16;79;3
-79;51;-34
1;26;18
10;-7;-5
-1;-39;-19
30;-99;-28
18;33;16
-22;13;1
1;-11;0
6;-5;-4
9;0;-3
-14;9;7
1;-7;-3
-2;-12;9
-34;111;-84
57;-184;121
